bundle,sigma,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,time
32,0,-231.96310717940634,45.30521387493136,1.4113980761217508,-0.07642245279476435,-0.33396071404471867,-0.0022926439525239825,1.0812542750770773,0.009909840070815506,1.038064458823767,-0.2408479697608792,0.04143804928253778,1.7362289365072334,-0.2976319839666368,-1.339026319718989,18944.60513072414
32,0,-231.97089700368622,45.27191348505976,1.411170240091074,-0.07637366758516459,-0.3339707811915251,-0.002292905808986132,1.0812524140873285,0.009868573144372884,1.0227228059178812,-0.23804342044917093,0.041439880733849084,1.7362289789673184,-0.2989886666154469,-1.3371608459668392,18944.509836409066
32,0,-231.97868197201882,45.23861206863159,1.4109423778111931,-0.07632488136748862,-0.33398084118812127,-0.0022931676476979825,1.08125055309758,0.009827406915264007,1.007286721265678,-0.23565096602575697,0.041441081982637865,1.736229218216124,-0.3002550283842558,-1.3352793977638668,18944.414542093993
32,0,-231.98646208429668,45.20530962635661,1.410714489283822,-0.0762760941427834,-0.3339908940344908,-0.002293429468655446,1.0812486921078313,0.009786333686749199,0.9917726197579524,-0.23367096987669944,0.04144177977028723,1.7362295598719328,-0.30142850050282505,-1.3333821395091467,18944.319247778923
32,0,-231.9942373404123,45.17200615894481,1.4104865745106738,-0.07622730591209624,-0.33400093973061645,-0.0022936912718544266,1.0812468311180825,0.00974534601496009,0.9761966257310335,-0.23210346793710251,0.04144209615016609,1.736229914168805,-0.3025066643176564,-1.3314692442798468,18944.22395346385
32,0,-232.00200774025853,45.13870166710624,1.4102586334934655,-0.07617851667647442,-0.3340109782764822,-0.0022939530572908292,1.081244970128334,0.009704436708899665,0.960574572966796,-0.2309481686911139,0.041442148487629206,1.7362301959565778,-0.30348725129199083,-1.3295408938312292,18944.128659148777
32,0,-232.0097732837281,45.10539615155058,1.4100306662339086,-0.07612972643696479,-0.3340210096720717,-0.0022942148249605575,1.0812431091385852,0.009663598830442195,0.9449220046926439,-0.23020445317192356,0.041442049460017144,1.7362303247008677,-0.3043681430058103,-1.3275972785966481,18944.033364833704
32,0,-232.01753397071397,45.07208961298795,1.409802672733721,-0.07608093519461476,-0.33403103391736905,-0.002294476574859512,1.0812412481488365,0.009622825694333278,0.929254173581517,-0.22987137496176335,0.04144190705665631,1.7362302244830676,-0.3051473711558365,-1.325638597687552,18943.938070518634
32,0,-232.02528980110915,45.03878205212831,1.4095746529946178,-0.07603214295047134,-0.33404105101235787,-0.0022947383069835897,1.081239387159088,0.009582110868189855,0.9135860417519015,-0.2299476601919091,0.04144182457885894,1.7362298240003489,-0.3058231175555308,-1.3236650588934828,18943.84277620356
32,0,-232.03304077480672,45.00547346968146,1.409346607018314,-0.07598334970558139,-0.33405106095702264,-0.002295000021328685,1.0812375261693392,0.009541448172500163,0.8979322807678127,-0.23043170754267828,0.0414419006399231,1.73622905656566,-0.30639371413509503,-1.3216768786820758,18943.747481888488
