time,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,bundle_index
0.0,-242.0553035651042,-5.357666259384808,1.1063949324924802,-0.0030542102438234496,-0.3373483671880452,-0.0030622380332774243,1.0963694634609686,0.009043507585008631,0.8918511977644774,-0.2547191201521395,0.04180644864501647,1.7360127373241951,-0.29171243948651104,-1.270977292551364,32
18.963568699422467,-242.06107304512915,-11.754316296559958,1.048099013910381,0.005975785272159182,-0.3371273455570804,-0.0031060240700273634,1.0960158754087204,0.009005629713784255,0.8771630982640037,-0.25506726344066066,0.04180673272013166,1.7360119003765875,-0.29231765661338094,-1.2691508541368748,32
37.927137398844934,-241.89593006684217,-18.145165416750636,0.9890474684666497,0.014981619581349276,-0.3366689750778262,-0.0031487504025926785,1.0956622873564723,0.008967810941092016,0.8624787720059987,-0.2558076414356602,0.04180747527391583,1.7360100774400078,-0.2928226299801729,-1.2673078574728707,32
56.8907060982674,-241.56033205935628,-24.525783064297514,0.9292428578287255,0.023957333380779617,-0.3359747749436832,-0.003190348177819135,1.095308699304224,0.008930044075236048,0.8478131543289151,-0.25693567405367546,0.041808723533014014,1.7360072963274917,-0.2932265386844504,-1.2654487793017177,32
75.8542747976935,-241.05484752676043,-30.891759865456812,0.8686912156973695,0.03289703893709401,-0.3350463925423647,-0.0032307501804888336,1.0949551112519758,0.008892322233323589,0.8331808270887587,-0.25844662188092526,0.04181052236869415,1.7360035851473994,-0.2935286679515379,-1.2635740926944297,32
94.81784349711597,-240.38015518909026,-37.23871041422575,0.8074018847476467,0.0417949218192596,-0.3338856010563843,-0.003269891026199363,1.0946015231997277,0.008854638841265021,0.818596018659099,-0.2603355861733097,0.041812914296847116,1.7359989723034155,-0.29372840913452086,-1.261684267050669,32
113.78141219653844,-239.53704304862126,-43.56227601538695,0.7453873506628348,0.05064524257769285,-0.33249429707979233,-0.003307707334756894,1.0942479351474794,0.008816987633773817,0.8040726039310522,-0.2625975088564113,0.04181593947798673,1.7359934864945477,-0.2938252597142455,-1.2597797680987444,32
132.74498089596455,-238.52640738503595,-49.85812738295327,0.6826630740029279,0.05944233837201312,-0.33087449825117043,-0.003344137884513442,1.0938943470952311,0.008779362654366563,0.7896241043132901,-0.26522717252549494,0.04181963571724972,1.7359871567151284,-0.2938188232993193,-1.2578610578956129,32
151.708549595387,-237.34925168294848,-56.121967292545065,0.619247320630984,0.06818062454959126,-0.32902834090281,-0.0033791237481143018,1.093540759042983,0.008741758255362992,0.7752636877320482,-0.26821920044550557,0.041824038464395724,1.735980012254814,-0.29370880962611046,-1.25592859482688,32
170.67211829480948,-236.00668549517485,-62.349533186551085,0.5551609914007914,0.0768545961769955,-0.3269580777259187,-0.003412608410154952,1.0931871709907348,0.008704169097885921,0.7610041686311091,-0.27156805655107147,0.04182918081380734,1.7359720826985843,-0.29349503455874837,-1.2539828336067982,32
189.63568699423558,-234.49992324502566,-68.53659973117463,0.4904274517886715,0.08545882952630857,-0.3246660754516347,-0.0034445378672774392,1.0928335829384865,0.008666590151861291,0.7468580079718103,-0.2752680454465033,0.04183509350449007,1.7359633979267437,-0.2931774200891231,-1.2520242252782672,32
208.59925569365805,-232.83028297075728,-74.67898132476202,0.4250723621296701,0.09398798351825602,-0.3221548125475566,-0.0034748607112652383,1.0924799948862385,0.008629016696018177,0.7328373132330537,-0.27931331240579116,0.04184180492007235,1.7359539881149206,-0.29275599433688604,-1.250053217212836,32
227.56282439308052,-230.99918501515825,-80.77253455705167,0.359123509094921,0.10243680112400998,-0.3194268769294275,-0.0035035281957220307,1.0921264068339902,0.008591444317888748,0.7189538384112875,-0.2836978433726089,0.041849341088805524,1.7359438837340673,-0.2922308915494493,-1.2480702531107002,32
246.52639309250299,-229.00815066308405,-86.81316061915916,0.29261063902283696,0.11080011072740449,-0.31648496368756185,-0.0035304942869441606,1.0917728187817421,0.0085538689138083,0.7052189840205183,-0.288415464960312,0.041857725683563884,1.7359331155504598,-0.29160235210198604,-1.2460757730007035,32
265.4899617919291,-226.85880072956212,-92.79680766434367,0.22556529369091435,0.11907282744927883,-0.31333187282753866,-0.0035557156996191223,1.0914192307294939,0.008516286688915235,0.6916437970923061,-0.2934598444519382,0.04186698002184464,1.7359217146256989,-0.2908707224974301,-1.2440702132403367,32
284.45353049135156,-224.55285410089962,-98.71947311972933,0.15802064908892066,0.1272499544355412,-0.30997050702463774,-0.0035791519180026574,1.0910656426772456,0.008478694157151094,0.6782389711757728,-0.2988244898002045,0.041877123065767935,1.7359097123167082,-0.29003645536647693,-1.24205400651574,32
303.417099190774,-222.0921262310177,-104.57720594931715,0.09001135772681917,0.13532658411050805,-0.3064038693914367,-0.0036007652032456292,1.0907120546249975,0.008441088141260511,0.6650148463375892,-0.3045027496275128,0.041888171422076806,1.7358971402757366,-0.28910010946758236,-1.2400275818416997,32
322.38066789020013,-219.4785275950427,-110.36610886869492,0.021573394983420716,0.14329789939694365,-0.3026350612579574,-0.003620520587558322,1.0903584665727493,0.00840346577279124,0.6519814091619806,-0.3104878132259464,0.04190013934213726,1.735884030450356,-0.2880623496869631,-1.2379913645616498,32
341.3442365896226,-216.71406210196776,-116.08234051196116,-0.04725609002696226,0.15115917490418784,-0.2986672799636974,-0.0036383858559146266,1.090004878520501,0.008365824492094167,0.6391482927507355,-0.3167727105572675,0.041913038721938196,1.7358704150834632,-0.2869239470385976,-1.235945776347674,32
