sigma_index,Wm,Wc
0,0.212659247048604,0.24909699704860372
1,0.056238625210814,0.056238625210814
2,0.056238625210814,0.056238625210814
3,0.056238625210814,0.056238625210814
4,0.056238625210814,0.056238625210814
5,0.056238625210814,0.056238625210814
6,0.056238625210814,0.056238625210814
7,0.056238625210814,0.056238625210814
8,0.056238625210814,0.056238625210814
9,0.056238625210814,0.056238625210814
10,0.056238625210814,0.056238625210814
11,0.056238625210814,0.056238625210814
12,0.056238625210814,0.056238625210814
13,0.056238625210814,0.056238625210814
14,0.056238625210814,0.056238625210814
