bundle,sigma,x,y,z,vx,vy,vz,mass,time
32,0,99.32907108297606,180.5702689431294,-0.25016306210783185,-0.3285880534374942,0.17062504555381866,-0.0021880600462136244,0.9704317023266139,0.0
32,0,99.29623657746224,180.587228456552,-0.25038134750561586,-0.32862029474288945,0.17056845379955854,-0.002187908198842415,0.9704298413368653,0.09529431507247471
32,0,99.26339887997307,180.60418233903744,-0.2505996176954106,-0.3286525261342984,0.17051185573810648,-0.0021877562678434825,0.9704279803471165,0.19058863014494942
32,0,99.23055799149103,180.6211305899637,-0.2508178726689346,-0.32868474761033833,0.1704552513711981,-0.0021876042532201316,0.9704261193573679,0.28588294521742413
32,0,99.19771391299875,180.63807320870916,-0.25103611241790713,-0.3287169591696264,0.17039864070056931,-0.0021874521549756698,0.9704242583676191,0.38117726028989884
32,0,99.16486664547891,180.65501019465196,-0.2512543369340467,-0.3287491608107804,0.17034202372795645,-0.002187299973113408,0.9704223973778705,0.47647157536237356
32,0,99.13201618991445,180.67194154717075,-0.25147254620907233,-0.32878135253241836,0.17028540045509627,-0.002187147707636663,0.9704205363881219,0.5717658904348483
32,0,99.09916254728829,180.6888672656442,-0.25169074023470456,-0.3288135343331585,0.17022877088372565,-0.002186995358548752,0.9704186753983731,0.6670602055073229
32,0,99.06630571858369,180.70578734945116,-0.25190891900266243,-0.3288457062116193,0.17017213501558215,-0.0021868429258529998,0.9704168144086245,0.7623545205797977
32,0,99.03344570478392,180.7227017979707,-0.2521270825046669,-0.3288778681664196,0.17011549285240357,-0.0021866904095527305,0.9704149534188758,0.8576488356522725
32,0,99.0005825068723,180.73961061058208,-0.2523452307324389,-0.32891002019617865,0.17005884439592794,-0.0021865378096512767,0.9704130924291271,0.9529431507247471
32,0,98.96771612583252,180.7565137866646,-0.2525633636776983,-0.32894216229951573,0.17000218964789393,-0.0021863851261519716,0.9704112314393785,1.0482374657972218
32,0,98.93484656264822,180.77341132559786,-0.2527814813321676,-0.3289742944750508,0.1699455286100404,-0.0021862323590581528,0.9704093704496298,1.1435317808696965
32,0,98.90197381830316,180.7903032267616,-0.25299958368756803,-0.3290064167214037,0.16988886128410643,-0.0021860795083731613,0.9704075094598811,1.2388260959421713
32,0,98.86909789378143,180.80718948953574,-0.25321767073562124,-0.32903852903719477,0.16983218767183186,-0.002185926574100344,0.9704056484701324,1.3341204110146458
32,0,98.83621879006698,180.82407011330037,-0.25343574246805034,-0.32907063142104465,0.16977550777495648,-0.0021857735562430484,0.9704037874803838,1.4294147260871206
32,0,98.80333650814414,180.84094509743554,-0.2536537988765772,-0.3291027238715743,0.1697188215952209,-0.0021856204548046285,0.9704019264906351,1.5247090411595954
32,0,98.77045104899732,180.85781444132198,-0.2538718399529252,-0.3291348063874048,0.16966212913436574,-0.002185467269788441,0.9704000655008864,1.6200033562320701
32,0,98.73756241361087,180.87467814433998,-0.2540898656888178,-0.32916687896715785,0.16960543039413192,-0.002185314001197846,0.9703982045111378,1.715297671304545
32,0,98.70467060296957,180.8915362058705,-0.25430787607597827,-0.329198941609455,0.1695487253762612,-0.002185160649036207,0.970396343521389,1.8105919863770195
32,0,98.70467060296957,180.8915362058705,-0.25430787607597827,-0.329198941609455,0.1695487253762612,-0.002185160649036207,0.970396343521389,1.9058863014494942
32,0,98.67177896620771,180.908394753354,-0.25452587594206005,-0.3292308377747555,0.16949211567737482,-0.0021849315564619054,0.9703944825316404,2.0011806165219688
32,0,98.63888417073571,180.92524766894104,-0.25474385289818985,-0.32926272397734885,0.16943549974625496,-0.002184702359575035,0.9703926215418917,2.0964749315944435
32,0,98.60598621754023,180.94209495201602,-0.2549618069340229,-0.32929460021585677,0.16937887758466563,-0.00218447305837726,0.970390760552143,2.1917692466669183
32,0,98.57308510760794,180.95893660196336,-0.2551797380392137,-0.3293264664889013,0.1693222491943712,-0.002184243652870247,0.9703888995623944,2.287063561739393
32,0,98.54018084192582,180.97577261816784,-0.2553976462034175,-0.3293583227951047,0.16926561457713626,-0.0021840141430556656,0.9703870385726456,2.382357876811868
32,0,98.50727342148082,180.99260300001438,-0.2556155314162896,-0.32939016913308955,0.16920897373472593,-0.0021837845289351923,0.970385177582897,2.4776521918843426
32,0,98.47436284726022,181.00942774688804,-0.2558333936674854,-0.32942200550147893,0.16915232666890576,-0.0021835548105105045,0.9703833165931484,2.5729465069568174
32,0,98.44144912025132,181.02624685817395,-0.25605123294666005,-0.32945383189889593,0.1690956733814415,-0.0021833249877832844,0.9703814556033996,2.6682408220292917
32,0,98.40853224144149,181.04306033325767,-0.2562690492434699,-0.3294856483239641,0.16903901387409936,-0.0021830950607552185,0.970379594613651,2.7635351371017665
32,0,98.37561221181838,181.05986817152464,-0.2564868425475703,-0.32951745477530725,0.16898234814864588,-0.002182865029427995,0.9703777336239023,2.8588294521742412
32,0,98.3426890323697,181.0766703723608,-0.2567046128486178,-0.32954925125154955,0.16892567620684804,-0.0021826348938033093,0.9703758726341536,2.954123767246716
32,0,98.30976270408331,181.0934669351519,-0.25692236013626774,-0.3295810377513155,0.16886899805047317,-0.002182404653882858,0.970374011644405,3.0494180823191908
32,0,98.27683322794714,181.1102578592841,-0.2571400844001773,-0.3296128142732297,0.16881231368128885,-0.0021821743096683407,0.9703721506546563,3.1447123973916655
32,0,98.2439006049494,181.1270431441437,-0.2573577856300029,-0.3296445808159174,0.1687556231010633,-0.0021819438611614646,0.9703702896649077,3.2400067124641403
32,0,98.21096483607823,181.14382278911714,-0.25757546381540114,-0.329676337378004,0.16869892631156472,-0.002181713308363937,0.9703684286751589,3.335301027536615
